<ID>;<Name>;ATPD_PICT_EUROFEUILLE;ATPD_PICT_AB_AGRI_BIO;photo_id;media_url
P02000000000MS6;BIO HAPPY HOUMOUS POIS CHICHE;;Oui;MEDIASTEP163465596;https://media.auchan.fr/MEDIASTEP163465596_0x0/
P02000000000MS8;BIO HAPPY HOUMOUS HARICOT ROUG;;Oui;MEDIASTEP163465573;https://media.auchan.fr/MEDIASTEP163465573_0x0/
P02000000000MZQ;BIO JARD PIZ CHEV SPECK 350G;;Oui;MEDIASTEP106850635;https://media.auchan.fr/MEDIASTEP106850635_0x0/
P02000000000PEO;AUC BIO CONFIT OIGN 40G;Oui;Oui;MEDIASTEP105543524;https://media.auchan.fr/MEDIASTEP105543524_0x0/
P02000000000PEL;AUC BIO CONFIT FIG 40G;Oui;Oui;MEDIASTEP105543523;https://media.auchan.fr/MEDIASTEP105543523_0x0/
A0220200528000804633;BIO CONFIT OIGNONS 100G;Oui;Oui;MEDIASTEP105851822;https://media.auchan.fr/MEDIASTEP105851822_0x0/
A0220200528000804636;BIO CONFIT FIGUES 100G;Oui;Oui;MEDIASTEP105961467;https://media.auchan.fr/MEDIASTEP105961467_0x0/
A0220200602000015038;BIO CONFIT FRUITS ROUGES 60G;;Oui;MEDIASTEP160557623;https://media.auchan.fr/MEDIASTEP160557623_0x0/
A0220200602000015349;BIO CONFIT OIGNON AIL NOIR 60G;;Oui;MEDIASTEP107679016;https://media.auchan.fr/MEDIASTEP107679016_0x0/
P02000000000RUQ;BIO CEREAL STEAK SOJA BLE160G;Oui;Oui;MEDIASTEP103292541;https://media.auchan.fr/MEDIASTEP103292541_0x0/
P02000000000RUS;BIO CEREAL EMINCE SOJA BLE130G;Oui;Oui;MEDIASTEP138491755;https://media.auchan.fr/MEDIASTEP138491755_0x0/
P02000000000RUT;BIO CEREAL HACHE VEGETAL 180G;Oui;Oui;MEDIASTEP165117898;https://media.auchan.fr/MEDIASTEP165117898_0x0/
P02000000000RUR;BIO CEREAL NUGGET SOJA BLE180G;Oui;Oui;MEDIASTEP138491754;https://media.auchan.fr/MEDIASTEP138491754_0x0/
A0220200810000658275;BIO PENNE AU SAUMON 280G;Oui;Oui;MEDIASTEP122701966;https://media.auchan.fr/MEDIASTEP122701966_0x0/
A0220200810000646579;BIO TAGLIATELLES OEUFS 250G;Oui;;MEDIASTEP122702051;https://media.auchan.fr/MEDIASTEP122702051_0x0/
