"cui";"Marque commerciale eCommerce";"Libellé Web";"Quantité vendue"
"P02000000000Y28";"DOMAINE DE GRIGNON";"Yaourt à la pomme et cannelle pot en verre ";"2x125g"
"P02000000000Y29";"DOMAINE DE GRIGNON";"Yaourt au citron et gingembre pot en verre";"2x125g"
"P02000000000Y27";"DOMAINE DE GRIGNON";"Crème dessert au chocolat pot en verre ";"2x125g"
"P02000000000Y70";"LES 2 VACHES";"Yaourts bio vanille de Madagascar";"4x115g"
"P02000000000YK3";"PTIT YOP";"Yaourt à boire à la framboise ";"6x180g"
"P02000000000YJX";"PTIT YOP";"Yaourt à boire panaché fraise vanille et framboise";"6x180g"
"P02000000000ZB2";"FJORD";"Douceur Nordique Skyr nature";"460g"
"P02000000000ZDM";"DANONE";"Skyr nature 0% MG";"825g"
"P02000000000ZWR";"PANIER DE YOPLAIT";"Yaourts aux fruits jaunes mixés";"8x125g"
"P0200000000106H";"CHARLES & ALICE";"Spécialité pomme banane vanille fraise poire sans sucre ajouté";"12x100g"
"P02000000001321";"DANONE";"Light et free Yaourt mangue et fruits de la passion";"2x145g"
"P020000000016LG";"ACTIVIA";"Yaourts aux fruits mixés bifidus";"16x125g"
"P0200000000175F";"ISEY";"Skyr straciatella";"400g"
"P020000000017JQ";"LA LAITIERE";"Crème 4 ingrédients à la vanille de Madagascar";"4x110g"
"P020000000017RY";"INVITATION A LA FERME";"Yaourt sur lit d'abricot de la Drôme bio";"4x125g"
"P020000000017RS";"INVITATION A LA FERME";"Riz au lait vanille bourbon bio";"4x125g"
"P020000000018MX";"YOP";"Yaourt à boire à la framboise";"6x180g"
"P020000000018V9";"ETREZ";"Crème fraîche fleurette entière 33%MG";"25cl"
"P020000000018X2";"LA LAITIERE";"Mousse de riz au lait saveur vanille";"4x80g"
"P020000000019IN";"PERLE DE LAIT";"Yaourt aromatisé à la vanille";"4x125g"
"P020000000019TC";"YOPLAIT";"Yaourt à boire aromatisé vanille";"4x180g"
"P02000000001A2T";"FERME DE LA GRANDE DENNERIE";"Riz au lait bio";"4x110g"
"P0200000000019B";"AUCHAN";"Beurre doux sans lactose";"200g"
"P020000000001HR";"PAYSAN BRETON";"Beurre moulé doux";"2x250g"
"P020000000001KK";"LE FLEURIER";"Margarine doux tartine et cuisson";"500g"
"P020000000002SJ";"PRIMEVERE";"Margarine doux pour tartine";"250g"
"P0200000000035K";"ST HUBERT";"Margarine demi sel allégée à tartiner";"250g"
