cui,CUG,GTIN d’encaissement,product_label,photo_id,media_url
A0220140704000496774,496774,5000277000982,ABERFELDY WHISKY MALT 12ANS40D 70CL,MEDIASTEP141209684,https://media.auchan.fr/MEDIASTEP141209684_0x0/
A0220090804000016250,16250,3596710337149,AUCHAN BIO PUREE 3 LEG 600G,MEDIASTEP61590112,https://media.auchan.fr/MEDIASTEP61590112_0x0/
A0220070628000241637,241637,3760058110621,CONFIT MAMIE OIGNON NATURE 220,MEDIASTEP61804649,https://media.auchan.fr/MEDIASTEP61804649_0x0/
A0220190515000140056,140056,3554460100550,FERMIERS OCCITANS FOIE GRASCANARD ENTIER SO 130G,MEDIASTEP76248784,https://media.auchan.fr/MEDIASTEP76248784_0x0/
A0220181220000908830,908830,0083800048113,7 H HEAVEN MASQUES BOUES ETCHARBON DE BOIS X 12,MEDIASTEP95008881,https://media.auchan.fr/MEDIASTEP95008881_0x0/
A0220021220000302079,302079,3596710173556,AUC CHEVRE CROTTIN 2X60G,MEDIASTEP76447053,https://media.auchan.fr/MEDIASTEP76447053_0x0/
A0220110126000242738,242738,3760186970067,FORCE BIO PUR JUS GRENADE 1L,MEDIASTEP58343538,https://media.auchan.fr/MEDIASTEP58343538_0x0/
A0220190307000576792,576792,3041091436238,BLEDICHEF PATES LEGUMES ETCABILLAUD 250G 24 MOIS,MEDIASTEP135820643,https://media.auchan.fr/MEDIASTEP135820643_0x0/
A0220170418000067640,67640,5055953902494,TWINNINGS ORIGINAL EARL GREY200G,MEDIASTEP61369614,https://media.auchan.fr/MEDIASTEP61369614_0x0/
A0220160816000281727,281727,8410076473516,OLD EL PASO KIT ENCHILADA SANSPIMENT 585G,MEDIASTEP133701171,https://media.auchan.fr/MEDIASTEP133701171_0x0/
P02000000000LRO,918163,3242272264057,SODEBO RADIATORI CHORIZO 400G,MEDIASTEP88134176,https://media.auchan.fr/MEDIASTEP88134176_0x0/
A0220140320000675991,675991,3095756309016,FM BLC DINDE DORE 6T FIN 180G,MEDIASTEP128495774,https://media.auchan.fr/MEDIASTEP128495774_0x0/
P02000000000I75,371789,8435177063190,AUC AMANDES DECORT 500G,MEDIASTEP84305489,https://media.auchan.fr/MEDIASTEP84305489_0x0/
A0220111130000682878,682878,3254569571809,PIERRE CHANAU CDR VIEILLESVIGNES ROUGE 3L,MEDIASTEP57721816,https://media.auchan.fr/MEDIASTEP57721816_0x0/
A0220190221000140089,140089,3266980003715;3266980003715;3266980003715,ETE BROCHETTE DINDE 760G LG,MEDIASTEP92111163,https://media.auchan.fr/MEDIASTEP92111163_0x0/
